from,to,distance_m,duration_s
FI1DC,FI198,237199.0,10972.0
FI1DC,FI19B,351775.0,16069.0
FI1DC,FI1B+,378552.0,15257.0
FI1DC,FI1C-,300030.0,12961.0
FI1DC,FI1C1,490937.0,20064.0
FI1DC,FI1D7,797190.0,33305.0
FI1DC,FI1D8,348029.0,14776.0
FI1DC,FI1D9,443723.0,19229.0
FI1DC,FI1DB,168757.0,7290.0
FI1DC,FI200,707488.0,42259.0
FI1DC,NO01+,1476821.0,76608.0
FI1DC,NO020,1408987.0,76520.0
FI1DC,NO060,1144885.0,62092.0
FI1DC,NO071,1153967.0,48808.0
FI1DC,NO072,1110312.0,47618.0
FI1DC,NO085,1555089.0,82221.0
FI1DC,NO092,1805691.0,90742.0
FI1DC,NO094,1616455.0,84113.0
FI1DC,NO0A1,1879474.0,99663.0
FI1DC,NO0A2,1705392.0,89772.0
FI1DC,NO0A3,1491413.0,79947.0
FI1DC,SE11+,1222532.0,62355.0
FI1DC,SE21+,1505577.0,72885.0
FI1DC,SE22+,1691292.0,79238.0
FI1DC,SE232,1468947.0,73218.0
FI1DC,SE311,1361449.0,70050.0
FI1DC,SE312,1146198.0,62127.0
FI1DC,SE313,986370.0,54071.0
FI1DC,SE321,794577.0,46398.0
FI1DC,SE322,961153.0,53921.0
FI1DC,SE331,968513.0,40817.0
FI200,DK02,919404.0,41103.0
FI200,DK03,1076792.0,46367.0
FI200,DK04,1133578.0,49142.0
FI200,DK050,828627.0,49533.0
FI200,FI19+,513941.0,35830.0
FI200,FI196,271679.0,30481.0
FI200,FI198,524499.0,36128.0
FI200,FI19B,382566.0,30381.0
FI200,FI1B+,346588.0,28534.0
FI200,FI1C-,472352.0,33855.0
FI200,FI1C1,202397.0,23543.0
FI200,FI1D7,1200173.0,65098.0
FI200,FI1D8,879915.0,50574.0
FI200,FI1D9,886909.0,52084.0
FI200,FI1DB,674497.0,41921.0
FI200,FI1DC,707806.0,42356.0
FI200,NO01+,658159.0,33720.0
FI200,NO020,831280.0,42904.0
FI200,NO060,841083.0,43896.0
FI200,NO071,1271869.0,61111.0
FI200,NO072,1616323.0,75119.0
FI200,NO085,850985.0,44417.0
FI200,NO092,973705.0,50897.0
FI200,NO094,844611.0,44443.0
FI200,NO0A1,1107629.0,59993.0
FI200,NO0A2,1068212.0,55213.0
FI200,NO0A3,1048806.0,52812.0
FI200,SE11+,270597.0,17600.0
FI200,SE21+,482026.0,26050.0
FI200,SE22+,667741.0,32403.0
FI200,SE232,556322.0,28802.0
FI200,SE311,528696.0,28210.0
FI200,SE312,476017.0,27431.0
FI200,SE313,403037.0,23430.0
FI200,SE321,597767.0,31434.0
FI200,SE322,698924.0,36095.0
FI200,SE331,891069.0,44200.0
NO01+,DK02,664232.0,25777.0
NO01+,DK03,627906.0,29853.0
NO01+,DK04,512610.0,26378.0
NO01+,DK050,411977.0,22333.0
NO01+,FI19+,1095665.0,60216.0
NO01+,FI196,1216935.0,65672.0
NO01+,FI198,1249378.0,66598.0
NO01+,FI19B,1251955.0,67622.0
NO01+,FI1B+,1394260.0,71622.0
NO01+,FI1C-,1445260.0,75281.0
